"DateTime";"Terraria";"POSTAL";"Grand Theft Auto V";"Fallout 4";"Life is Strange 2";"Valheim";"Cyberpunk 2077";"ELDEN RING";"Capcom Arcade Stadium";"Lost Ark"
"2011-05-12 00:00:00";38727;;;;;;;;;
"2011-05-26 00:00:00";30633;;;;;;;;;
"2011-06-09 00:00:00";23815;;;;;;;;;
"2011-06-23 00:00:00";19454;;;;;;;;;
"2011-07-07 00:00:00";26017;;;;;;;;;
"2011-07-21 00:00:00";14312;;;;;;;;;
"2011-08-04 00:00:00";25209;;;;;;;;;
"2011-08-18 00:00:00";13976;;;;;;;;;
"2011-09-01 00:00:00";10616;;;;;;;;;
"2011-09-15 00:00:00";8039;;;;;;;;;
"2011-09-29 00:00:00";7452;;;;;;;;;
"2011-10-13 00:00:00";8046;;;;;;;;;
"2011-10-27 00:00:00";9458;;;;;;;;;
"2011-11-10 00:00:00";6028;;;;;;;;;
"2011-11-24 00:00:00";57842;;;;;;;;;
"2011-12-08 00:00:00";33965;;;;;;;;;
"2011-12-22 00:00:00";30985;;;;;;;;;
"2012-01-05 00:00:00";25058;;;;;;;;;
"2012-01-19 00:00:00";18378;;;;;;;;;
"2012-02-02 00:00:00";16313;;;;;;;;;
"2012-02-16 00:00:00";13289;;;;;;;;;
"2012-03-01 00:00:00";10660;;;;;;;;;
"2012-03-15 00:00:00";9719;;;;;;;;;
"2012-03-29 00:00:00";9714;;;;;;;;;
"2012-04-12 00:00:00";8850;;;;;;;;;
"2012-04-26 00:00:00";9713;;;;;;;;;
"2012-05-10 00:00:00";8403;;;;;;;;;
"2012-05-24 00:00:00";7377;;;;;;;;;
"2012-06-07 00:00:00";7110;;;;;;;;;
"2012-06-21 00:00:00";16097;;;;;;;;;
"2012-07-05 00:00:00";17875;;;;;;;;;
"2012-07-19 00:00:00";14183;;;;;;;;;
"2012-08-02 00:00:00";8344;;;;;;;;;
"2012-08-16 00:00:00";6785;;;;;;;;;
"2012-08-30 00:00:00";8503;;;;;;;;;
"2012-09-13 00:00:00";8636;;;;;;;;;
"2012-09-27 00:00:00";6756;;;;;;;;;
"2012-10-11 00:00:00";6176;;;;;;;;;
"2012-10-25 00:00:00";10799;;;;;;;;;
"2012-11-08 00:00:00";8005;;;;;;;;;
"2012-11-22 00:00:00";10806;;;;;;;;;
"2012-12-06 00:00:00";7459;;;;;;;;;
"2012-12-20 00:00:00";13452;;;;;;;;;
"2013-01-03 00:00:00";11971;;;;;;;;;
"2013-01-17 00:00:00";10009;;;;;;;;;
"2013-01-31 00:00:00";8561;;;;;;;;;
"2013-02-14 00:00:00";7156;;;;;;;;;
"2013-02-28 00:00:00";14259;14;;;;;;;;
"2013-03-14 00:00:00";13813;;;;;;;;;
"2013-03-28 00:00:00";14404;8;;;;;;;;
"2013-04-11 00:00:00";11069;;;;;;;;;
"2013-04-25 00:00:00";14305;12;;;;;;;;
"2013-05-09 00:00:00";14431;;;;;;;;;
"2013-05-23 00:00:00";11804;5;;;;;;;;
"2013-06-06 00:00:00";9588;;;;;;;;;
"2013-06-20 00:00:00";18750;10;;;;;;;;
"2013-07-04 00:00:00";18924;;;;;;;;;
"2013-07-18 00:00:00";15525;;;;;;;;;
"2013-08-01 00:00:00";8392;9;;;;;;;;
"2013-08-15 00:00:00";6660;;;;;;;;;
"2013-08-29 00:00:00";12057;21;;;;;;;;
"2013-09-12 00:00:00";8677;;;;;;;;;
"2013-09-26 00:00:00";97686;5;;;;;;;;
